;rating;title;year;director0;runtime;genres0;genres1;actor0;actor1;actor2;actor3;tagline;outline;genres2;genres3;director1;genres4;genres5
1924;6.5;Queen of Burlesque;1946.0;Sam Newfield;4200.0;Action;Drama;Evelyn Ankers;Carleton G. Young;Marion Martin;Craig Reynolds;Thrills and Tears of Backstage Queens... To the Rhythm of Gay Music!;Reporter Steve Hurley is happy when he hears that Crystal McCoy, star of the burlesque show, is to be replaced by her predecessor...;Music;Mystery;;;
1927;6.8;Wilby Wonderful;2004.0;Daniel MacIvor;5940.0;Comedy;Drama;James Allodi;Callum Keith Rennie;Ellen Page;Rebecca Jenkins;Everybody gets a second chance.;A day-in-the-life dark comedy concerning a group of islanders, their respective secrets, and one man's plan to kill himself quietly.;Romance;;;;
1935;6.5;Law and Disorder;1974.0;Ivan Passer;6060.0;Comedy;Crime;"Connor"" (u";Ernest Borgnine;Ann Wedgeworth;Anita Dangler;Laugh until it hurts;In the crime-ridden 70's New York, two cops have had enough. They, along with few other disgruntled people decide to take the things into their own hands.;Drama;;;;
1937;6.1;Young, Hot 'n Nasty Teenage Cruisers;1977.0;Tom Denucci;4980.0;Adult;Comedy;Serena;Tony Conn;Christine De Shaffer;Lynne Margulies;Hot Rods and Fast Chicks;Fast-paced, almost plot less rock and roll adult film musical set during a crazy night in the lives of a dozen or more teenagers, and other people during a night out on the town.;Music;;Johnny Legend;;
1939;6.8;The Private Afternoons of Pamela Mann;1974.0;Radley Metzger;4500.0;Adult;Comedy;Barbara Bourbon;Sonny Landham;Darby Lloyd Rains;Marc Stevens;;A housewife is tracked by a private investigator hired by her wealthy husband.;;;;;
1944;5.3;Bogus;1996.0;Norman Jewison;6600.0;Comedy;Family;Whoopi Goldberg;G\xe9rard Depardieu;Haley Joel Osment;Andrea Martin;A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid.;Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.;Fantasy;;;;
1954;3.9;Discopríbeh 2;1991.0;Jaroslav Soukup;4800.0;Comedy;Musical;Ladislav Potmesil;Rudolf Hrus\xednsk\xfd;Veronika K\xe1nsk\xe1;Eva C\xedzkovsk\xe1;;"The sequel to a 1987 comedy ""Discopríbeh"". This time around the central generational conflict between...";;;;;
1960;4.2;Molly and the Ghost;1991.0;Donald M. Jones;5220.0;Horror;;Ena Henderson;Lee Darling;Ron Moriarty;Daniel Martine;Revenge Is Forever;Conniving and duplicitous tramp Susan tries to have her older sister Molly killed so she can have Molly's hunky husband Jeff all to herself...;;;;;
1967;5.8;Alive;2002.0;Ry\xfbhei Kitamura;7140.0;Action;Drama;Hideo Sakaki;Ry\xf4;Koyuki;Shun Sugata;A life worse than death.;After survivng his own execution, Tenshu choses to be subjected to the bizarre experiments of the prison officials.;Horror;Sci-Fi;;Thriller;
1975;5.5;Tango;1996.0;Erik Clausen;3480.0;;;;;;;;;;;;;
1978;6.0;Young Bill Hickok;1940.0;Joseph Kane;3540.0;Action;Comedy;Roy Rogers;Gabby;Julie Bishop;John Miljan;BILL HICKOK...PATHFINDER...PLAINSMAN...PIONEER...reliving America's most colorful days!;Bill Hickok, assisted by Calamity Jane, is after a foreign agent and his guerrilla band who are trying to take over some western territory just as the Civil War is coming to a close.;History;Romance;;Western;
1982;4.8;Unlawful Passage;1994.0;Camilo Vila;;Thriller;;Lee Horsley;Leslie Ming;Ren\xe9 Pereyra;Felicity Waterman;;Erotic thriller about a rich couple who hires a new sailboat captain who's unbeknown to them also a drug smuggler.;;;;;
1985;2.8;Slatko od snova;1994.0;Vladimir Zivkovic;5760.0;Comedy;Musical;Dragana Mirkovic;Rambo Amadeus;Branka Katic;Zorica Atanasovska;;Deni, a young woman working in McDonalds, has dreams of fame. When a producer discovers her singing talent he gets her into the game. However, she soon feels overburdened. Fortunately, the ghost of Elvis is there to help her.;Romance;;;;
1991;5.3;Last of the Buccaneers;1950.0;Lew Landers;4740.0;Action;Adventure;Paul Henreid;Jack Oakie;Karin Booth;Mary Anderson;The violent story of Jean Lafitte - soldier-sailor of fortune !;Swashbuckler about the adventures of pirate Jean Lafitte after he helped save New Orleans from a British invasion during the War of 1812.;History;War;;;
1996;4.7;Heroes in Blue;1939.0;William Watson;3660.0;Action;Adventure;Dick Purcell;Bernadene Hayes;Charles Quigley;Frank Sheridan;Murder after midnight on deserted streets!;Gangster Moran gives Joe Murphy several thousand dollars to bet on a horse race, the horse wins and Joe takes off with the money...;Drama;;;;
1998;6.4;Sunday;2002.0;Charles McDougall;6540.0;Drama;;Ciar\xe1n McMenamin;Barry Mullan;Paul Campbell;Julieann Campbell;;Sunday tells the story of an infamous day in Derry/Londonderry, Northern Ireland and how the events...;;;;;
2004;5.7;Sea Devils;1953.0;Raoul Walsh;5460.0;Action;Adventure;Yvonne De Carlo;Rock Hudson;Maxwell Reed;"Dea"" (u";Six-Feet-Four of fighting Man ... to Tame a Wildcat Beauty !;Gilliat,a fisherman/smuggler is in jail, and is offered a pardon, if he undertakes a mission to sail to France to rescue Douchette, an English agent, whose cover has been blown,and who has now been jailed. Gilliat accepts the challenge.;Drama;History;;;
2006;7.6;Samurai I: Musashi Miyamoto;1954.0;Hiroshi Inagaki;5580.0;Action;Adventure;Toshir\xf4 Mifune;Mariko Okada;Rentar\xf4 Mikuni;Kur\xf4emon Onoe;;"Depicts the early life of the legendary warrior Musashi Miyamoto; his years as an aspiring warrior, an outlaw and finally a true samurai.";Biography;Drama;;History;
2008;7.1;All Quiet on the Western Front;1979.0;Delbert Mann;9000.0;Drama;War;Richard Thomas;Ernest Borgnine;Donald Pleasence;Ian Holm;They left for war as Boys, never to return as men.;A young soldier faces profound disillusionment in the soul-destroying horror of World War I.;;;;;
2014;5.9;Meng gui ba wang hua;1990.0;Cheung-Yan Yuen;5580.0;Comedy;Horror;Joanna Chan;Mandy Chan;Charlie Cho;Tat-Wah Cho;;To cut down on expenses, a Hong Kong police superintendent orders a captain to take a group of S.W.A.T...;;;;;
2016;7.1;Alone on the Pacific;1963.0;Kon Ichikawa;6240.0;Adventure;;Y\xfbjir\xf4 Ishihara;Masayuki Mori;Kinuyo Tanaka;Ruriko Asaoka;;Kenichi Horie is determined to challenge his family, the law and the nature crossing the Pacific to America in a small sailboat. Despite his careful planning many unforeseen events will test his determination.;;;;;
2041;;The Sport of Kings;1921.0;Arthur Rooke;;Drama;Sport;Victor McLaglen;Douglas Munro;Cyril Percival;Phyllis Shannaw;;A man helps a rich girl's slum work and wins the race on her ex-fiancé's horse.;;;;;
2042;6.1;She's Too Young;2004.0;Tom McLoughlin;7200.0;Drama;;Marcia Gay Harden;Alexis Dziena;Mike Erwin;Miriam McDonald;Her 14-year-old daughter's not fast... she's just keeping up.;Halifax is hit with an outbreak of STD's among high-school students. Among them is Hannah Vogul, and her horrified mother tries to find out the story of why this is happening.;;;;;
2045;3.0;My Uncle the Alien;1996.0;Henri Charr;5460.0;Family;Fantasy;Hailey Foster;Josh Paddock;Sherwin Ace Ross;Beau Richard Hairston;;The President's daughter uses her extraterrestrial influence to spare the fate of a children's shelter in Los Angeles.;Sci-Fi;;;;
2048;4.4;Sankarialokas;1955.0;Aarne Tarkas;4920.0;Comedy;;Lasse P\xf6ysti;Leo Jokela;Jussi Jurkka;Tuulikki Suomela;;Young record store clerk and aspiring writer Esko has just finished his first novel and wants to marry a colonel's daughter...;;;;;
2053;6.9;The Czar Wants to Sleep;1934.0;Aleksandr Faintsimmer;5220.0;Comedy;Drama;Mikhail Yanshin;Boris Gorin-Goryainov;Nina Shaternikova;Sofiya Magarill;;A sarcastic comedy about the Imperial Russian bureaucracy, based on the eponymous novella by Yuri Tynyanov...;;;;;
2056;7.1;Swastika;1964.0;Yasuz\xf4 Masumura;5460.0;Drama;Romance;Ayako Wakao;Ky\xf4ko Kishida;Eiji Funakoshi;Y\xfbsuke Kawazu;;A childless housewife falls in love with a beautiful model.;;;;;
2057;4.4;Twogether;1992.0;Andrew Chiaramonte;7200.0;Comedy;Drama;Nick Cassavetes;Brenda Bakke;Jeremy Piven;Jim Beaver;In affairs of the heart, sometimes your body makes all the decisions (Video Australia);An artist and an environmentalist go through an up and down relationship over the years. They get married in an early fling...;Romance;;;;
2062;6.0;How Sleep the Brave;1982.0;Lindsay Shonteff;5280.0;Action;Drama;Lawrence Day;Luis Manuel;Thomas M. Pollard;Christopher Muncke;During the swinging 60's a forgotten few walked into hell...;A squad of young fresh American soldiers are sent to Vietnam. Immediately upon their arrival, they are...;;;;;
2065;6.4;Oh Those Nurses!;1982.0;C.C. Williams;4680.0;Adult;Comedy;Suzzanna Ash;Lori Palmer;Merle Michaels;Diane May;Your temperature isn't the only thing that's going to rise!;Every year, the graduating class of nurses reward wounded WWII veterans by volunteering to replace their doctors for one day. But this year, four of them try outwearing the hospital's old general owner so his son would take over.;;;;;
2076;6.0;Through the Eyes of a Killer;1992.0;Peter Markle;5640.0;Romance;Thriller;Marg Helgenberger;Richard Dean Anderson;David Marshall Grant;Melinda Culea;;A woman has a brief affair with the contractor who is renovating her apartment and he refuses to accept the end of the relationship.;;;;;
2089;7.2;Lone Texas Ranger;1945.0;Spencer Gordon Bennet;3360.0;Western;;Bill Elliott;Robert Blake;Alice Fleming;Roy Barcroft;DANGEROUS CRIMINALS ON-THE-LOOSE...Thrill to the excitement...the action!...the pulse-pounding adventure!....when Red Ryder takes to their trail! (original poster);"""Iron Mike"" Haines (Tom Chatterton), a crooked sheriff, and ""Hands"" Weber (Roy Barcroft), the town blacksmith...";;;;;
2096;6.4;The Iron Curtain;1948.0;William A. Wellman;5220.0;Biography;Crime;Dana Andrews;Gene Tierney;June Havoc;Berry Kroeger;What Was Behind Their Mission... THIS TERROR?;The story of Soviet cypher-clerk Igor Gouzenko who was posted to the Soviet Embassy in Ottawa,Canada in 1943 and defected in 1945 to reveal the extent of Soviet espionage activities directed against Canada.;History;Thriller;;;
2110;6.4;Man in the Saddle;1951.0;Andr\xe9 De Toth;5220.0;Romance;Western;Randolph Scott;Joan Leslie;Ellen Drew;Alexander Knox;SIX-GUN SHOWDOWN IN THE SIERRAS (original print ad - all caps);A private deadly feud ensues when ruthless wealthy rancher Will Isham attempts a takeover of small rancher Owen Merritt's land and marries Owen's old flame, Laure Bidwell.;;;;;
2132;;A Long, Long Way to Tipperary;1914.0;George Dean;;;;;;;;;;;;;;
2138;6.0;Winding Roads;1999.0;Theodore Melfi;;Drama;;Kimberly Quinn;Katrina Holden Bronson;Rachel Hunter;James Marsters;The twists and turns that can change a life forever...;Three women encounter the toughest time of their lives.;;;;;
2140;8.8;The Million Dollar Dixie Deliverance;1978.0;Russ Mayberry;6000.0;Adventure;Drama;Brock Peters;Christian Juttner;Charles Courtland;Kyle Richards;;During the Civil War, five children from a Union family are held hostage by Confederate soldiers. A...;Family;;;;
2141;8.1;In This Corner... Boxing's Little Giants;1992.0;;;Sport;;Henry Armstrong;Roberto Dur\xe1n;Benny Leonard;Sugar Ray Leonard;;HBO Sports looks at the lives and boxing careers of Benny Leonard, Henry Armstrong, Willie Pep, Sugar Ray Robinson, Roberto Duran, and Sugar Ray Leonard..;;;;;
2142;7.1;Neel Kamal;1968.0;Ram Maheshwari;9600.0;Drama;Fantasy;Waheeda Rehman;Raaj Kumar;Manoj Kumar;Lalita Pawar;;Sleepwalker Sita Raichand (Waheeda Rehman) is rescued by Ram (Manoj Kumar) while walking on a railway track...;Musical;Romance;;;
2150;6.6;Salomé;1922.0;Charles Bryant;4320.0;Biography;Drama;Alla Nazimova;Nigel De Brulier;Mitchell Lewis;Rose Dione;;Salome, the daughter of Herodias, seduces her step-father/uncle Herod, governor of Judea, with a salacious dance...;History;Horror;;;
2156;7.7;Lajwanti;1958.0;Narendra Suri;7200.0;Drama;Family;Nargis;Balraj Sahni;Kumari Naaz;Prabhu Dayal;;Having been unjustly accused of having an affair, a dutiful and loving wife is thrown out of the house by her husband and forced to abandon her baby...;;;;;
2157;6.7;Yes! yi zu;1991.0;Clara Law;5640.0;Comedy;Drama;Leon Lai;Vivian Chow;Hacken Lee;Hoi-Lun Au;;ARE YOU READY FOR SOME FRUITBALL!!!! Annoying Orange and Pear call the big game! Who will win!? And will Midget Apple escape without getting a concussion?;;;;;
2166;5.3;An Eye for an Eye;1973.0;Larry G. Brown;5040.0;Horror;Thriller;Tom Basham;Gene Carlson;Gretchen Kanne;David Carlile;He's Judge... Jury... Executioner;A children's television show host stalks and murders abusive parents.;;;;;
2181;;Die ewige Nacht;1916.0;Urban Gad;;;;;;;;;;;;;;
2183;4.6;The Wicked Dreams of Paula Schultz;1968.0;George Marshall;6780.0;Comedy;;Elke Sommer;Bob Crane;Werner Klemperer;Joey Forman;Did you ever see a dream running? Jumping? Stripping? Hiding? Not hiding?;A beautiful East German Olympic hopeful pole-vaults over the Berlin Wall to freedom.;;;;;
2186;8.0;Sagina Mahato;1971.0;Tapan Sinha;8880.0;Drama;;Dilip Kumar;Saira Banu;Anil Chatterjee;Bhanu Bannerjee;;Sagina Mahato, a factory laborer,an aggressive, honest and lovable character who was the first to fight against the tyranny of the British bosses in the Tea gardens of North-Eastern India.;;;;;
2192;;Red Light;1994.0;Stuart Canterbury;4800.0;Adult;Comedy;Buck Adams;Dominique Bouche;Asia Carrera;Steve Drake;;A P.I. gets hired onto a case that may have resulted in the death of his partner ... and takes him into the seedy part of town known as the Red Light district.;Mystery;;;;
2193;7.0;Sólo para hombres;1960.0;Fernando Fern\xe1n G\xf3mez;5100.0;;;;;;;;;;;;;
2196;;Chimera;1999.0;Rogelio Fojo;;;;;;;;;;;;;;
2197;4.3;Malombra;1984.0;Bruno Gaburro;5460.0;Drama;;Paola Senatore;Maurice Poli;Gino Milli;Stefano Alessandrini;;Gothic and erotic mystery about a young man called Marco, who goes to stay with his strange uncle, whose...;;;;;
2198;6.8;The Robe;1953.0;Henry Koster;8100.0;Drama;History;Richard Burton;Jean Simmons;Victor Mature;Michael Rennie;The First Picture on the New Miracle Curved Screen !;In the Roman province of Judea during the 1st century, Roman tribune Marcellus Gallio is ordered to crucify Jesus of Nazareth but is tormented by his guilty conscience afterwards.;;;;;
2207;5.8;Il tesoro di Damasco;1998.0;Jos\xe9 Mar\xeda S\xe1nchez;10800.0;Adventure;;Franco Nero;Ben Gazzara;Val\xe9rie Kaprisky;Randi Ingerman;;A mysterious black marble tablet is found in Syrian desert by an Arab terrorist after an attack on a UN scientific expedition.;;;;;
2208;7.0;MugShot;1996.0;Matt Mahurin;5220.0;Crime;Drama;Michael Kenneth Williams;Robert Knepper;Robert Walker;Belinda Becker;;A white guy wakes up in a deserted building in Harlem with no money, ID, and no memory of how he got there...;;;;;
2218;;Nearly a King;1916.0;Frederick A. Thomson;3000.0;Romance;Comedy;John Barrymore;Katherine Corri Harris;Russell Bassett;Beatrice Prentice;;A crown prince doesn't want to marry a foreign princess, so he asks an actor to take his place.;;;;;
2224;8.2;I to ce proci;1985.0;Nenad Dizdarevic;5820.0;Drama;War;Fabijan Sovagovic;Olivera Markovic;Bata;Bane;;Wonderful war stories about Isidor Katanic, officer who spent his working life as a calligrapher writing to various documents...;;;;;
2226;6.0;The Inspectors;1998.0;Brad Turner;6300.0;Crime;Mystery;Louis Gossett Jr.;Jonathan Silverman;Tobias Mehler;Greg Thirloway;;U.S Postal Inspectors are called in when a suburban couple are killed by a mail bomb. Suspicion immediately...;;;;;
2227;7.1;Dressed to Kill;1980.0;Brian De Palma;6240.0;Mystery;Thriller;Michael Caine;Angie Dickinson;Nancy Allen;Keith Gordon;The latest fashion in murder.;A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder.;;;;;
2231;5.2;A Show of Force;1990.0;Bruno Barreto;5700.0;Drama;Thriller;Amy Irving;Robert Duvall;Andy Garcia;Lou Diamond Phillips;When a person murders, it's a crime. When a government murders, it's a cover-up.;An American journalist in Puerto Rico in 1978 investigates the death of nationalists who may have been murdered by the police.;;;;;
2236;6.0;One Night of Love;1934.0;Victor Schertzinger;5040.0;Music;Romance;Grace Moore;Tullio Carminati;Lyle Talbot;Mona Barrie;;Mary Barrett is an aspiring Opera singer who is taken under the wings of a famous operatic maestro, Guilio Monterverdi...;;;;;
2238;4.7;Takin' It Off Out West;1995.0;Ed Hansen;;Comedy;;Anastasia Brown;Kathy Pasmore;Taylor St. Clair;Julie Strain;;In the Old West, the government hires three strippers to travel to mining towns and keep the lonely--and...;;;;;
2243;;The Chinese Puzzle;1919.0;Fred Goodwins;;Crime;Drama;Leon M. Lion;Lilian Braithwaite;Milton Rosmer;Sybil Arundale;;A Mandarin takes the blame when the wife of his friend's son steals secret papers.;;;;;
2244;;Hardly Newz;1997.0;Heather M. Somaini;4680.0;Comedy;Thriller;Scott Roth;Mark Pfau;Gwyn Fawcett;Erin Lanza;;A crew of three from a television tabloid search for an actress who has dropped out of sight, causing...;;;;;
2246;7.9;Balada o svirepom...;1971.0;Lola;5160.0;Drama;;Ljuba Tadic;Rade Markovic;Dragomir Bojanic-Gidra;Jagoda Kaloper;;Deeply hurt by his wife's infidelity, a man leaves her and his son to live high up alone in the mountains of Montenegro...;;;;;
2247;6.0;The Spirit of '76;1990.0;Lucas Reiner;4920.0;Comedy;Sci-Fi;Mark Mothersbaugh;Gerald V. Casale;Carl Reiner;Nancye Ferguson;A close-up look at the most embarrassing decade in history.;Future Americans decide to time travel to 1776 to ask the founding fathers for the solutions to their problems...;;;;;
2251;5.8;Kommissar X - Drei gelbe Katzen;1966.0;Rudolf Zehetgruber;5700.0;Action;Adventure;Tony Kendall;Brad Harris;Ann Smyrner;Dan Vadis;;(1967) Tony Kendall, Brad Harris. Two Yanks are hired to protect a rich lady from a sinister underworld group...;;;;;
2252;6.0;The Persuader;1957.0;Dick Ross;4320.0;Western;;William Talman;James Craig;Kristine Miller;Darryl Hickman;The Power That Tamed a Killer West!;Oklahoma Territory rancher Mark Bonham is killed for his law-and-order convictions in a community that...;;;;;
2253;5.8;Rocky Road;2001.0;Geoff Cunningham;5400.0;Drama;Romance;Will Wallace;Nicole A. Smith;Wolf Muser;Robert Wisdom;They Came For Dinner. GUESS Who Won't Be Staying For Dessert?;A young interracial couple must overcome the prejudices of their families and society to maintain their relationship.;;;;;
2257;7.0;Man of the Crowds;2001.0;John Lvoff;5400.0;Drama;;Jerzy Radziwilowicz;Maria de Medeiros;Danuta Stenka;Zbigniew Zapasiewicz;;Paul Markovic suffers from Stendhal syndrome. It is to Dr.Giordano that he tells his monstrous secret.;;;;;
2269;6.8;Katz V'Carasso;1971.0;Menahem Golan;6600.0;Drama;;Shmuel Rodensky;Yehuda Barkan;Gadi Yagil;Joseph Shiloach;;Two feuding insurance brokers vie for a big oil company contract. One family sends the son to meet with the prospective clients and the other sends their daughter and the two fall in love.;;;;;
2270;7.5;The Secret Night Caller;1975.0;Jerry Jameson;4440.0;Drama;;Robert Reed;Hope Lange;Robin Mattson;Michael Constantine;;A man who is the pillar of his community has a secret - he has a compulsion to make obscene telephone calls.;;;;;
2273;5.4;Mercy Plane;1939.0;Richard Harlan;4320.0;Action;Crime;James Dunn;Frances Gifford;Matty Fain;William Pawley;CRIME INVADES THE AIRPORTS for MILLION DOLLAR PROFITS (original poster);In this Producers Pictures Corporation production, distributed by Producers Distributing Corporation...;Drama;Mystery;;Romance;Sport
2274;7.5;Big Tuna;2003.0;Shaul Betser;3000.0;Comedy;;Zadok Savir;Roy Arad;Yehuda Barkan;Shmulik Duvdevani;;The story of Max Tuna Schreiber, the first Israeli candid camera director.;;;;;
2275;7.0;Carmen;1915.0;Cecil B. DeMille;3540.0;Drama;;Geraldine Farrar;Wallace Reid;Pedro de Cordoba;Horace B. Carpenter;;In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer.;;;;;
2279;6.8;Broadway Melody of 1938;1937.0;Roy Del Ruth;6600.0;Musical;Romance;Robert Taylor;Eleanor Powell;George Murphy;Binnie Barnes;So New It's a Year Ahead!;Steve Raleight wants to produce a show on Broadway. He finds a backer, Herman Whipple and a leading lady...;;;;;
2284;7.5;The Wrong Man;1956.0;Alfred Hitchcock;6300.0;Drama;Film-Noir;Henry Fonda;Vera Miles;Anthony Quayle;Harold J. Stone;"""I found a real-life story more terrifying than any fiction... this is it!"" Alfred Hitchcock";True story of an innocent man mistaken for a criminal.;;;;;
2292;7.0;Spring and Port Wine;1970.0;Peter Hammond;6060.0;Drama;;James Mason;Diana Coupland;Hannah Gordon;Susan George;If you get the better of me lass, you'll be the first in this house that has !;A stern father and lenient mother try to deal with the ups and downs of their four children's lives in working class Bolton.;;;;;
2294;6.3;Man with the Transplanted Brain;1971.0;Jacques Doniol-Valcroze;4800.0;Drama;Horror;Mathieu Carri\xe8re;Jean-Pierre Aumont;Nicoletta Machiavelli;Michel Duchaussoy;;Professor Marcilly is a famed brain specialist who, following in-depth and extended research work, is now able to perform brain transplant surgery...;Sci-Fi;Thriller;;;
2303;7.0;Manoharam;2000.0;Gunasekhar;;Action;Drama;Jagapathi Babu;Laya;Prakash Raj;Vinod Bala;;The film begins with the ISI moles scheming to destabilize India right in the opening shot, followed...;;;;;
2309;5.2;The Godsend;1980.0;Gabrielle Beaumont;5580.0;Drama;Horror;Malcolm Stoddard;Cyd Hayman;Angela Pleasence;Patrick Barr;If Bonnie is a gift from Heaven...for God's sake take her back..!;An English family of six takes in a pregnant woman who disappears shortly after giving birth. They raise the baby girl as their own...;;;;;
2315;;L'homme à l'Hispano;1927.0;Julien Duvivier;7380.0;Drama;;Huguette Duflos;Georges Galli;Acho Chakatouny;Madeleine Rodrigue;;The almost financial ruined gentleman Georges Dewalter spends several days in Biarritz before going off in the Hispano-Suiza...;;;;;
2322;7.3;Cloud Above the River Ganges;2002.0;G\xe1bor Dettre;8580.0;Drama;;Zolt\xe1n Terny\xe1k;Ildik\xf3 T\xf3th;Anik\xf3 S\xe1f\xe1r;Mikl\xf3s B. Sz\xe9kely;;The heroin addicted András got a last chance from his love Juli, to save his life.;;;;;
2328;7.0;Dirty Hands;1951.0;Fernand Rivers;5940.0;Drama;;Pierre Brasseur;Daniel G\xe9lin;Claude Nollier;Monique Arthur;;A young intellectual, Hugo, joins the Communist Party out of a sense of idealism, only to see his principles manipulated by party leaders...;;;Simone Berriau;;
2333;5.3;Savage Intruder;1970.0;Donald Wolfe;6000.0;Horror;Thriller;Miriam Hopkins;David Garfield;Gale Sondergaard;Florence Lake;A new high in Terror and Shock!;An aging actress whose career ended in the '30s lives in her decaying mansion with a retinue of bizarre people, including a personal assistant who keeps an arsenal of weapons.;;;;;
2337;4.3;Al alcance de su mano;2002.0;Antonio Hern\xe1ndez;5280.0;Drama;;Caridad Ant\xf3n;Juan Castro;Alberto de Miguel;Alfredo D\xedaz;;Olga, a girl around 25, comes to Madrid from the village she used to live in with her father, in order to have a new start in life...;;;;;
2339;5.8;Gurin with the Foxtail;1998.0;John M. Jacobsen;4560.0;Animation;Family;Toralv Maurstad;Grethe Kausland;Pia Borgli;Wenche Foss;;A gnome named Gurin wakes up with a foxtail as punishment for his practical jokes.;Adventure;Comedy;Nille Tystad;;
2343;6.3;Untamed;1955.0;Henry King;6660.0;Adventure;Drama;Tyrone Power;Susan Hayward;Richard Egan;John Justin;It's AFRICOLOSSAL! in CINEMASCOPE (original print ad - mostly caps);In 1847, the Irish potato famine forces Katie O'Neill and her husband to emigrate to a troubled South Africa where Katie runs into an old flame.;Romance;;;;
2344;5.0;Deadly Vengeance;1981.0;Amin Q. Chaudhri;5040.0;Action;;Arthur Roberts;Alan Marlowe;Bob Holden;Betty Harrison;;A man sets out to take revenge on the sadist who murdered his girlfriend.;;;;;
2354;6.9;The Last Child;1971.0;John Llewellyn Moxey;4380.0;Drama;Sci-Fi;Michael Cole;Van Heflin;Harry Guardino;Janet Margolin;The time: sometime in the future. Mrs. Miller is going to have a baby. But the law says she can't. The law says the world's overpopulated. Run, Mrs. Miller! Run!;Van Heflin As Sen. Quincy George.;Thriller;;;;
2355;6.0;Hot Money Girl;1959.0;Alvin Rakoff;4860.0;Adventure;Crime;Eddie Constantine;Dawn Addams;Marius Goring;Christopher Lee;She was Trash! She would do anything for a price!;Hidden somewhere inside St. Teresa's Convent in Czechoslovakia is a box containing a fortune in jewels. A lot of people are after it.;Thriller;;;;
2360;5.7;Galaxies Are Colliding;1992.0;John Ryman;5580.0;Comedy;;Dwier Brown;Susan Walters;Karen Medak;Kelsey Grammer;It's not science fiction. It's something else.;Black comedy about a normal guy, about to get married, who starts to question all things of a cosmic significance...;;;;;
2361;4.5;O Homem de Papel;1976.0;Carlos Coimbra;5880.0;Crime;Drama;Milton Moraes;Vera Gimenez;Zbigniew Ziembinski;Jos\xe9 Lewgoy;;Carlos felt frustrated because he'd only managed to be a crime reporter. But everything changes when he receives from an anonymous informant proofs of a big smuggling scheme.;;;;;
2365;6.7;Lost in the Stars;1974.0;Daniel Mann;5820.0;Drama;Musical;Brock Peters;Melba Moore;Raymond St. Jacques;Clifton Davis;The shattering drama, the haunting music, the unforgettable love story.;Brock Peters (To Kill a Mockingbird) is Stephen Kumalo, a black South African minister searching the unfamiliar back alleys and shantytowns of Johannesburg for his son, Absalom.;;;;;
2369;6.4;Honey for Oshun;2001.0;Humberto Sol\xe1s;7380.0;Comedy;;Jorge Perugorr\xeda;Isabel Santos;Mario Limonta;Saturnino Garc\xeda;;When his father dies, a Cuban man who was raised in the United States, learns that he was not abandoned by his mother but illegally taken out of Cuba...;;;;;
2376;7.2;Tempting Heart;1999.0;Sylvia Chang;6900.0;Drama;Romance;Takeshi Kaneshiro;Gigi Leung;Karen Mok;Brenda Chan;It's the love we've lost that haunts us.;Cheryl is a Hong Kong-based film director who uses the story of her first love as the basis for her next screen project. As she tells her tale to a screenwriter, she relives memories from a more innocent time.;;;;;
2379;7.6;The Tracker;2002.0;Rolf de Heer;5400.0;Drama;History;David Gulpilil;Gary Sweet;Damon Gameau;Grant Page;The Fanatic. The Follower. The Fugitive. The Tracker.;"It's 1922; somewhere in Australia. When a Native Australian man is accused of murdering a white woman...";Western;;;;
2380;6.1;Law of the Tropics;1941.0;Ray Enright;4560.0;Drama;Romance;Constance Bennett;Jeffrey Lynn;Regis Toomey;Mona Maris;LOVE'S TRAGIC LESSON (original poster-all caps);The telegram that Jim Comway receives states that the woman he was to marry, Laura, could not move to a country she didn't know, and marry a man she felt she no longer knew;;;;;
2382;5.9;Den demokratiske terroristen;1992.0;Per Berglund;5760.0;Action;Thriller;Stellan Skarsg\xe5rd;Katja Flint;Burkhard Driest;Ulrich Tukur;;Swedish secret agent infiltrate a German terrorist group.;;;;;
2391;4.5;Klara Lust;1972.0;Kjell Grede;6180.0;Drama;;Brasse Br\xe4nnstr\xf6m;Gunilla Olsson;Carl-Gustaf Lindstedt;Agneta Prytz;;Helge, a factory worker, awakens to life after he almost loses his arm in a machine. His happiness at...;;;;;
2393;7.0;I'm No Angel;1933.0;Wesley Ruggles;5220.0;Comedy;Musical;Mae West;Cary Grant;Gregory Ratoff;Edward Arnold;"""Come up and see me sometime - any time!""";Circus performer Tira seeks a better life pursuing the company of wealthy New York men with improbable comic complications along the way.;Romance;;;;
2395;6.4;Here Comes the Groom;1951.0;Frank Capra;6780.0;Comedy;Musical;Bing Crosby;Jane Wyman;Alexis Smith;Franchot Tone;;Foreign correspondent Pete Garvey has 5 days to win back his former fiancée, or he'll lose the orphans he adopted.;Romance;;;;
2396;4.7;Big Deal;1985.0;Barry Healey;;Comedy;;Jeff Wincott;Tina Theberge;Allan Katz;Dan Lett;;Ted is an entrepreneur whose hopes of selling 10,000 automatized ashtrays are scattered away after his buyer died...;;;;;
